int_ftse,int_dax,int_nikkei,int_spx
33.0,11.0,0.0,6.0
-47.0,-32.0,-123.0,-3.0
14.0,3.0,-242.0,-1.0
-42.0,-41.0,283.0,-7.0
-23.0,20.0,48.0,-2.0
7.0,-7.0,-52.0,0.0
7.0,25.0,0.0,-2.0
-29.0,-40.0,-19.0,1.0
9.0,-1.0,-346.0,2.0
30.0,14.0,39.0,2.0
-46.0,-40.0,108.0,-2.0
34.0,-28.0,-52.0,0.0
-43.0,0.0,87.0,-1.0
18.0,-14.0,-82.0,-7.0
-45.0,-42.0,183.0,-1.0
28.0,19.0,-96.0,-1.0
14.0,12.0,89.0,3.0
34.0,71.0,0.0,4.0
41.0,39.0,77.0,6.0
27.0,-15.0,268.0,0.0
41.0,36.0,59.0,2.0
-35.0,10.0,-179.0,2.0
14.0,-23.0,-11.0,-1.0
-35.0,-26.0,34.0,-1.0
-25.0,-13.0,-124.0,3.0
3.0,-8.0,123.0,-4.0
-31.0,-32.0,-92.0,-2.0
-3.0,6.0,-47.0,-4.0
-29.0,-27.0,-120.0,1.0
-1.0,14.0,14.0,1.0
30.0,17.0,50.0,3.0
54.0,38.0,9.0,8.0
14.0,-3.0,184.0,-1.0
-1.0,5.0,-73.0,-4.0
-15.0,-27.0,-166.0,-2.0
23.0,22.0,0.0,1.0
-7.0,8.0,61.0,-5.0
-32.0,-26.0,-192.0,1.0
-2.0,13.0,-10.0,2.0
36.0,34.0,-186.0,0.0
4.0,8.0,-159.0,-1.0
-28.0,-25.0,20.0,-2.0
20.0,18.0,-23.0,4.0
40.0,21.0,130.0,-1.0
11.0,0.0,-85.0,0.0
-19.0,-21.0,30.0,-2.0
4.0,-2.0,-34.0,-2.0
-10.0,8.0,-181.0,-3.0
-43.0,-24.0,-159.0,-8.0
-51.0,-33.0,0.0,-1.0
9.0,17.0,-261.0,0.0
-3.0,-1.0,-35.0,3.0
14.0,-6.0,145.0,2.0
14.0,-13.0,115.0,1.0
20.0,20.0,149.0,-2.0
-42.0,-12.0,-62.0,-5.0
-22.0,-3.0,-15.0,5.0
16.0,25.0,307.0,0.0
-17.0,-21.0,35.0,0.0
-4.0,-3.0,-166.0,-2.0
1.0,-2.0,6.0,-6.0
-36.0,-17.0,-202.0,1.0
-34.0,-21.0,-3.0,3.0
3.0,16.0,-100.0,1.0
34.0,21.0,56.0,4.0
-7.0,14.0,190.0,1.0
40.0,15.0,42.0,3.0
21.0,-3.0,107.0,-1.0
24.0,14.0,136.0,0.0
12.0,6.0,-66.0,2.0
21.0,16.0,293.0,0.0
-8.0,-1.0,0.0,0.0
0.0,0.0,93.0,0.0
0.0,9.0,-15.0,3.0
12.0,-14.0,-46.0,-2.0
-30.0,-22.0,87.0,1.0
0.0,23.0,-29.0,-2.0
0.0,-19.0,0.0,0.0
0.0,-10.0,0.0,0.0
-14.0,4.0,-39.0,1.0
-19.0,-21.0,-68.0,0.0
33.0,7.0,-97.0,0.0
-10.0,-5.0,-75.0,0.0
5.0,9.0,57.0,1.0
-11.0,-1.0,47.0,0.0
-16.0,-2.0,-138.0,0.0
15.0,5.0,-79.0,4.0
28.0,24.0,0.0,4.0
-22.0,-7.0,-90.0,1.0
0.0,4.0,-18.0,-1.0
-26.0,-6.0,0.0,-3.0
-33.0,-29.0,-383.0,-2.0
-41.0,-37.0,-1055.0,1.0
14.0,14.0,275.0,0.0
14.0,-1.0,99.0,2.0
25.0,14.0,-89.0,1.0
15.0,-10.0,34.0,2.0
-27.0,-4.0,648.0,-2.0
-4.0,-2.0,-103.0,2.0
26.0,23.0,90.0,0.0
17.0,-9.0,-135.0,2.0
25.0,39.0,-66.0,6.0
3.0,8.0,129.0,3.0
10.0,8.0,-167.0,-1.0
0.0,-6.0,-210.0,1.0
26.0,30.0,-191.0,-1.0
11.0,10.0,192.0,1.0
-28.0,-9.0,22.0,0.0
-10.0,10.0,-175.0,1.0
3.0,7.0,-147.0,2.0
-23.0,-23.0,-211.0,1.0
-7.0,7.0,240.0,-4.0
-26.0,-18.0,-64.0,0.0
5.0,0.0,140.0,1.0
-4.0,-5.0,10.0,3.0
30.0,30.0,-276.0,1.0
-12.0,-8.0,-358.0,2.0
-12.0,-12.0,-664.0,-5.0
-16.0,-9.0,245.0,4.0
32.0,30.0,-435.0,-2.0
-3.0,-11.0,345.0,0.0
-13.0,-22.0,76.0,0.0
-24.0,-25.0,1.0,0.0
-25.0,-28.0,-85.0,-3.0
16.0,-12.0,-334.0,1.0
-6.0,-40.0,142.0,0.0
35.0,19.0,-405.0,6.0
-10.0,-34.0,119.0,1.0
39.0,48.0,-232.0,2.0
-3.0,-27.0,421.0,-1.0
47.0,21.0,-311.0,4.0
-5.0,-37.0,-104.0,0.0
35.0,5.0,-122.0,1.0
10.0,0.0,0.0,-1.0
5.0,-6.0,-225.0,0.0
-3.0,-43.0,-91.0,0.0
17.0,0.0,-64.0,5.0
-4.0,-7.0,347.0,3.0
-21.0,-17.0,585.0,0.0
14.0,7.0,-221.0,0.0
34.0,31.0,52.0,-1.0
-39.0,-35.0,-373.0,-2.0
6.0,20.0,-758.0,1.0
45.0,31.0,249.0,4.0
2.0,7.0,252.0,0.0
10.0,4.0,-67.0,1.0
10.0,2.0,-96.0,0.0
-6.0,2.0,444.0,1.0
-14.0,-1.0,105.0,-2.0
19.0,12.0,76.0,2.0
-1.0,-8.0,93.0,2.0
0.0,0.0,-390.0,0.0
0.0,0.0,257.0,-3.0
-14.0,-29.0,-79.0,-1.0
-24.0,-11.0,151.0,-1.0
4.0,12.0,267.0,1.0
25.0,32.0,325.0,3.0
10.0,-9.0,-164.0,4.0
5.0,29.0,106.0,0.0
12.0,21.0,-84.0,0.0
-9.0,-4.0,57.0,1.0
-1.0,-7.0,-77.0,1.0
4.0,0.0,5.0,0.0
28.0,19.0,277.0,0.0
14.0,1.0,0.0,6.0
2.0,-3.0,0.0,0.0
-13.0,-13.0,0.0,0.0
0.0,9.0,15.0,3.0
10.0,20.0,-145.0,0.0
29.0,12.0,-132.0,1.0
27.0,18.0,-365.0,0.0
-7.0,22.0,-41.0,1.0
0.0,-10.0,189.0,2.0
-10.0,17.0,-218.0,1.0
-3.0,-21.0,80.0,-1.0
-12.0,-5.0,-159.0,-8.0
-24.0,-19.0,-172.0,0.0
23.0,32.0,-351.0,4.0
7.0,-13.0,127.0,5.0
36.0,22.0,54.0,0.0
1.0,0.0,-391.0,0.0
-17.0,-40.0,115.0,-5.0
0.0,4.0,-120.0,0.0
-2.0,12.0,188.0,0.0
10.0,19.0,-326.0,10.0
21.0,18.0,158.0,0.0
5.0,15.0,255.0,-1.0
31.0,0.0,48.0,3.0
4.0,20.0,-237.0,0.0
-10.0,-17.0,19.0,-2.0
10.0,1.0,-237.0,-1.0
-43.0,-31.0,-398.0,-5.0
7.0,21.0,-231.0,3.0
3.0,-3.0,-214.0,6.0
-8.0,0.0,61.0,0.0
31.0,6.0,207.0,1.0
-4.0,-5.0,-162.0,2.0
15.0,29.0,-5.0,6.0
-4.0,-14.0,-35.0,-1.0
1.0,4.0,286.0,-1.0
25.0,18.0,-18.0,8.0
-24.0,-24.0,332.0,-2.0
-70.0,-1.0,-120.0,-5.0
4.0,-9.0,-386.0,-2.0
-31.0,-37.0,-141.0,2.0
12.0,3.0,-111.0,-1.0
20.0,-5.0,10.0,1.0
9.0,10.0,-32.0,3.0
26.0,11.0,270.0,0.0
45.0,7.0,75.0,0.0
-6.0,-6.0,426.0,6.0
74.0,52.0,958.0,3.0
-7.0,21.0,28.0,1.0
9.0,10.0,346.0,-3.0
-14.0,6.0,17.0,6.0
-3.0,-7.0,-100.0,1.0
-18.0,-2.0,12.0,-2.0
13.0,10.0,325.0,3.0
-22.0,-18.0,-268.0,-4.0
-15.0,12.0,-152.0,-8.0
-5.0,-12.0,31.0,3.0
13.0,13.0,136.0,0.0
18.0,0.0,2.0,3.0
1.0,36.0,-443.0,5.0
22.0,5.0,239.0,0.0
4.0,2.0,238.0,4.0
10.0,-22.0,24.0,-3.0
-5.0,5.0,28.0,0.0
-14.0,-11.0,-319.0,-3.0
50.0,38.0,362.0,-1.0
-24.0,-15.0,173.0,0.0
7.0,2.0,-152.0,0.0
1.0,8.0,-126.0,2.0
-15.0,-8.0,223.0,0.0
0.0,-14.0,-49.0,-1.0
6.0,14.0,-61.0,-2.0
-7.0,-8.0,64.0,-2.0
-26.0,-17.0,124.0,4.0
3.0,25.0,536.0,-1.0
21.0,15.0,706.0,1.0
5.0,2.0,-9.0,0.0
39.0,12.0,-117.0,0.0
26.0,4.0,-161.0,-1.0
-5.0,-11.0,6.0,1.0
-15.0,4.0,-146.0,-2.0
4.0,-9.0,190.0,0.0
5.0,4.0,-151.0,3.0
0.0,-17.0,77.0,-1.0
-22.0,-10.0,288.0,1.0
2.0,21.0,-152.0,0.0
-27.0,-17.0,134.0,1.0
32.0,8.0,3.0,2.0
13.0,21.0,-372.0,0.0
10.0,3.0,46.0,6.0
25.0,0.0,-174.0,1.0
-12.0,3.0,1.0,0.0
9.0,-3.0,658.0,2.0
-5.0,2.0,207.0,1.0
-14.0,-2.0,-14.0,3.0
35.0,34.0,142.0,2.0
-5.0,0.0,144.0,5.0
-1.0,5.0,0.0,0.0
-31.0,-16.0,-439.0,-1.0
8.0,17.0,155.0,2.0
20.0,88.0,-276.0,2.0
-4.0,-119.0,-164.0,-3.0
-43.0,-71.0,-321.0,-2.0
-8.0,13.0,-147.0,0.0
17.0,15.0,355.0,0.0
-39.0,-42.0,341.0,0.0
-6.0,-6.0,-240.0,4.0
30.0,16.0,-109.0,-1.0
12.0,-3.0,-174.0,-3.0
4.0,0.0,403.0,1.0
20.0,14.0,3.0,-1.0
0.0,-22.0,75.0,1.0
-18.0,-16.0,286.0,0.0
-16.0,-16.0,-330.0,-4.0
-50.0,-21.0,0.0,-1.0
14.0,17.0,-285.0,2.0
49.0,6.0,80.0,4.0
45.0,47.0,-91.0,1.0
-11.0,-12.0,136.0,-1.0
5.0,-9.0,-100.0,3.0
31.0,12.0,-21.0,1.0
-15.0,-21.0,60.0,3.0
-27.0,-28.0,202.0,-3.0
-20.0,-32.0,-1.0,-2.0
4.0,-2.0,-142.0,1.0
2.0,26.0,-44.0,-4.0
-18.0,2.0,-244.0,-6.0
-22.0,-30.0,-389.0,3.0
13.0,37.0,172.0,4.0
19.0,16.0,145.0,-2.0
-11.0,17.0,-180.0,3.0
5.0,-1.0,554.0,5.0
-23.0,-12.0,0.0,1.0
14.0,-1.0,8.0,-2.0
8.0,6.0,-15.0,-2.0
15.0,10.0,-158.0,5.0
4.0,-2.0,-42.0,2.0
-18.0,-8.0,22.0,-1.0
13.0,21.0,-54.0,0.0
